region,value
1001,11952
1003,73915
1005,8882
1007,4596
1009,9367
1011,3197
1013,7471
1015,47333
1017,8914
1019,5585
1021,10284
1023,3820
1025,8955
1027,4174
1029,2562
1031,16646
1033,25650
1035,3887
1037,1477
1039,13369
1041,4170
1043,30084
1045,21613
1047,14209
1049,22805
1051,21153
1053,13904
1055,38370
1057,4344
1059,11098
1061,5589
1063,1949
1065,3083
1067,3817
1069,50441
1071,17563
1073,371000
1075,3655
1077,31900
1079,5378
1081,61314
1083,25234
1085,2644
1087,5464
1089,203100
1091,7559
1093,10376
1095,37447
1097,183890
1099,6800
1101,142550
1103,50068
1105,2617
1107,4121
1109,15123
1111,5421
1113,14804
1115,20732
1117,93396
1119,3590
1121,31682
1123,14635
1125,100308
1127,19963
1129,3958
1131,3146
1133,7817
2013,2355
2016,3821
2020,172155
2050,7276
2060,1037
2068,2160
2070,2623
2090,48016
2100,1026
2105,789
2110,18651
2122,21191
2130,7836
2150,7585
2164,831
2170,24476
2180,4049
2185,16268
2188,2958
2195,1393
2198,2178
2220,4753
2230,858
2240,2728
2261,5064
2270,0
2275,904
2282,288
2290,2123
4001,18680
4003,40097
4005,66370
4007,15464
4009,9515
4011,4679
4012,6198
4013,1911950
4015,49140
4017,28598
4019,387999
4021,61206
4023,14328
4025,62438
4027,71449
5001,10989
5003,7634
5005,15774
5007,119816
5009,14978
5011,4022
5013,2551
5015,11270
5017,3683
5019,10243
5021,3973
5023,7312
5025,1114
5027,9246
5029,7785
5031,51757
5033,20821
5035,18886
5037,5583
5039,2956
5041,5053
5043,7019
5045,45430
5047,4969
5049,2133
5051,39054
5053,4309
5055,16671
5057,8335
5059,9541
5061,7502
5063,16056
5065,3543
5067,5967
5069,31298
5071,9131
5073,1432
5075,4613
5077,2343
5079,3288
5081,3832
5083,6069
5085,15310
5087,3615
5089,4084
5091,14469
5093,19331
5095,2478
5097,1692
5099,2627
5101,1283
5103,7999
5105,1467
5107,6566
5109,2711
5111,5836
5113,6427
5115,29615
5117,1853
5119,272544
5121,4826
5123,8727
5125,25211
5127,3293
5129,1778
5131,70415
5133,5374
5135,4176
5137,2813
5139,19865
5141,4315
5143,110637
5145,27193
5147,2116
5149,6937
6001,784853
6003,1168
6005,12279
6007,84389
6009,9300
6011,9272
6013,374282
6015,8379
6017,55449
6019,386170
6021,9293
6023,50436
6025,67404
6027,8016
6029,330577
6031,52554
6033,16680
6035,10622
6037,4581775
6039,48244
6041,121978
6043,5608
6045,33355
6047,80282
6049,2654
6051,7241
6053,198380
6055,78909
6057,31962
6059,1629958
6061,158913
6063,6391
6065,706106
6067,669576
6069,16665
6071,752573
6073,1564926
6075,720955
6077,245393
6079,121837
6081,410446
6083,209641
6085,1084773
6087,107851
6089,67598
6091,625
6093,13979
6095,145704
6097,210253
6099,189021
6101,30275
6103,17976
6105,2860
6107,163005
6109,18106
6111,338253
6113,110161
6115,21522
8001,205833
8003,8552
8005,336718
8007,4170
8009,1358
8011,1244
8013,187111
8014,37595
8015,7675
8017,838
8019,3168
8021,1618
8023,879
8025,1161
8027,961
8029,8752
8031,506584
8033,818
8035,119880
8037,32684
8039,3879
8041,307037
8043,14029
8045,27269
8047,5130
8049,7650
8051,8674
8053,303
8055,1808
8057,547
8059,242270
8061,583
8063,3271
8065,2473
8067,27112
8069,159285
8071,5412
8073,2339
8075,9130
8077,63593
8079,556
8081,5087
8083,9479
8085,15011
8087,12580
8089,6564
8091,1794
8093,2563
8095,1802
8097,16732
8099,4742
8101,62714
8103,3183
8105,4154
8107,14887
8109,1929
8111,300
8113,5378
8115,927
8117,21411
8119,7421
8121,1460
8123,107947
8125,4455
9001,456332
9003,539154
9005,64936
9007,72461
9009,387530
9011,133752
9013,45489
9015,41743
10001,72188
10003,307414
10005,79848
11001,777160
12001,136889
12003,7497
12005,84735
12007,6845
12009,209927
12011,825022
12013,3030
12015,48124
12017,34298
12019,51118
12021,144902
12023,25267
12027,10201
12029,2782
12031,523580
12033,145874
12035,22988
12037,3590
12039,13065
12041,3426
12043,2173
12045,3883
12047,3371
12049,8243
12051,14551
12053,42536
12055,30038
12057,700643
12059,3667
12061,52966
12063,15077
12065,2651
12067,1557
12069,95414
12071,257665
12073,154349
12075,9378
12077,1969
12079,4602
12081,123356
12083,103853
12085,67634
12086,1174925
12087,44174
12089,21543
12091,100541
12093,11841
12095,810880
12097,90895
12099,619058
12101,116901
12103,438301
12105,220730
12107,17243
12109,71305
12111,76951
12113,38775
12115,171892
12117,188026
12119,28574
12121,11954
12123,7071
12125,3757
12127,172483
12129,5638
12131,24795
12133,5968
13001,7347
13003,2194
13005,4340
13007,623
13009,16977
13011,3831
13013,19185
13015,36820
13017,6102
13019,3859
13021,90220
13023,2965
13025,2292
13027,3415
13029,8063
13031,27748
13033,10318
13035,6446
13037,1224
13039,18684
13043,3076
13045,43433
13047,15390
13049,2293
13051,162409
13053,20165
13055,6668
13057,58576
13059,76490
13061,577
13063,124957
13065,2443
13067,362581
13069,17324
13071,15139
13073,34314
13075,4116
13077,40194
13079,1523
13081,8927
13083,3681
13085,8374
13087,8926
13089,320768
13091,5439
13093,3715
13095,50426
13097,42983
13099,4746
13101,606
13103,10420
13105,5961
13107,7224
13109,4693
13111,6339
13113,43706
13115,41130
13117,75267
13119,8203
13121,864792
13123,7872
13125,458
13127,39170
13129,20932
13131,6551
13133,5982
13135,366174
13137,15531
13139,85498
13141,1718
13143,6759
13145,5220
13147,6933
13149,2281
13151,58511
13153,63907
13155,2185
13157,23784
13159,2265
13161,4829
13163,4870
13165,1581
13167,1781
13169,4954
13171,3906
13173,1523
13175,18861
13177,6335
13179,35363
13181,1456
13183,1112
13185,56310
13187,8062
13189,7152
13191,2153
13193,3064
13195,3504
13197,1359
13199,5123
13201,1884
13205,8113
13207,8081
13209,1793
13211,7224
13213,10537
13215,105103
13217,24817
13219,10974
13221,1880
13223,24261
13225,9624
13227,7922
13229,4587
13231,3062
13233,12086
13235,3240
13237,5723
13239,417
13241,5087
13243,2039
13245,126055
13247,34679
13249,1079
13251,3577
13253,2528
13255,23500
13257,9712
13259,1305
13261,11672
13263,836
13265,253
13267,6315
13269,1789
13271,3792
13273,2632
13275,21938
13277,20365
13279,12825
13281,3484
13283,1262
13285,41004
13287,2391
13289,1216
13291,7327
13293,7290
13295,13764
13297,22358
13299,16499
13301,1620
13303,7426
13305,8738
13307,559
13309,1309
13311,7636
13313,59728
13315,1437
13317,3232
13319,3361
13321,3841
15001,71984
15003,534107
15005,32169
15007,77470
15009,230742
16001,1266
16003,36267
16005,1832
16007,3734
16009,15122
16011,13169
16013,1547
16015,13986
16017,49752
16019,3702
16021,7629
16023,409
16025,61901
16027,3438
16029,11318
16031,423
16033,2985
16035,1534
16037,10164
16039,3745
16041,3181
16043,3846
16045,6358
16047,4633
16049,6655
16051,9357
16053,59446
16055,15985
16057,2528
16059,1763
16061,1675
16063,15903
16065,7856
16067,22173
16069,1239
16071,2904
16073,6896
16075,3521
16077,4845
16079,3267
16081,38103
16083,4266
16085,3030
16087,34722
17001,1690
17003,5143
17005,18109
17007,3996
17009,12045
17011,890
17013,4584
17015,6376
17017,106360
17019,11157
17021,5135
17023,5465
17025,11990
17027,26325
17029,2727187
17031,8534
17033,2818
17035,42632
17037,5716
17039,8749
17041,644352
17043,7143
17045,2600
17047,21204
17049,5595
17051,4905
17053,9107
17055,8993
17057,1403
17059,2695
17061,19844
17063,2223
17065,4217
17067,853
17069,1296
17071,15093
17073,8812
17075,30015
17077,2196
17079,20444
17081,5416
17083,8453
17085,2198
17087,221197
17089,45333
17091,29551
17093,21694
17095,366332
17097,45438
17099,4526
17101,13002
17103,14451
17105,9392
17107,13553
17109,103056
17111,94966
17113,53008
17115,11183
17117,104845
17119,14166
17121,3297
17123,3544
17125,3874
17127,2138
17129,3463
17131,8916
17133,9149
17135,15302
17137,4487
17139,17262
17141,107440
17143,5274
17145,3638
17147,4692
17149,717
17151,1724
17153,1672
17155,12326
17157,6596
17159,77411
17161,104365
17163,9130
17165,105194
17167,1998
17169,1158
17171,5184
17173,1444
17175,17832
17177,60155
17179,4681
17181,30023
17183,3654
17185,6724
17187,6447
17189,4902
17191,4890
17193,22550
17195,239213
17197,29190
17199,135675
17201,11519
17203,14451
18001,196576
18003,52874
18005,2513
18007,3374
18009,28908
18011,3280
18013,5610
18015,15384
18017,56594
18019,8164
18021,11659
18023,2208
18025,12279
18027,14938
18029,14273
18031,22508
18033,50555
18035,29243
18037,130188
18039,6794
18041,31460
18043,4844
18045,5060
18047,6769
18049,21249
18051,30024
18053,7208
18055,144440
18057,22993
18059,10864
18061,68008
18063,13025
18065,41418
18067,15213
18069,21285
18071,12501
18073,7994
18075,13536
18077,7893
18079,53146
18081,19131
18083,39064
18085,14226
18087,199433
18089,43467
18091,13978
18093,41709
18095,632306
18097,19944
18099,7396
18101,10119
18103,71788
18105,16647
18107,16575
18109,3690
18111,19615
18113,1530
18115,7980
18117,4854
18119,3413
18121,6833
18123,3248
18125,63849
18127,8796
18129,4625
18131,13600
18133,7915
18135,12606
18137,5244
18139,131904
18141,7989
18143,18881
18145,7550
18147,4959
18149,16699
18151,6406
18153,2240
18155,92945
18157,4562
18159,1434
18161,113894
18163,4571
18165,52765
18167,12828
18169,1952
18171,16953
18173,6460
18175,32058
18177,11340
18179,9790
18181,12809
18183,3027
19001,1449
19003,5400
19005,4891
19007,1703
19009,6237
19011,78715
19013,10317
19015,10934
19017,6809
19019,11221
19021,4114
19023,3117
19025,12202
19027,6544
19029,5896
19031,24938
19033,5115
19035,5029
19037,4441
19039,9395
19041,7153
19043,23210
19045,7801
19047,41732
19049,2100
19051,2742
19053,7064
19055,23381
19057,10105
19059,61247
19061,4222
19063,7882
19065,6374
19067,4299
19069,3174
19071,3747
19073,4304
19075,3397
19077,6115
19079,6985
19081,7650
19083,4626
19085,9650
19087,4362
19089,4174
19091,3748
19093,9920
19095,6708
19097,11936
19099,8206
19101,95280
19103,6925
19105,2619
19107,7358
19109,18201
19111,135286
19113,3967
19115,3548
19117,4769
19119,4075
19121,8655
19123,17756
19125,18707
19127,4177
19129,4046
19131,3025
19133,3715
19135,4463
19137,24508
19139,6987
19141,2433
19143,6317
19145,4024
19147,11601
19149,3131
19151,302339
19153,41026
19155,10807
19157,1532
19159,3618
19161,94994
19163,6398
19165,21247
19167,53058
19169,5791
19171,2138
19173,6506
19175,2170
19177,16904
19179,11726
19181,9203
19183,2055
19185,19913
19187,4739
19189,11480
19191,55999
19193,2474
19195,5996
19197,6165
20001,2185
20003,6430
20005,1945
20007,13628
20009,7208
20011,5325
20013,20734
20015,821
20017,889
20019,6556
20021,987
20023,814
20025,3300
20027,3794
20029,4561
20031,795
20033,15203
20035,18656
20037,1019
20039,7067
20041,2570
20043,55091
20045,1265
20047,744
20049,17110
20051,2602
20053,19463
20055,18317
20057,10230
20059,31992
20061,1386
20063,1065
20065,3513
20067,3345
20069,767
20071,1885
20073,1097
20075,2620
20077,15309
20079,2000
20081,651
20083,4483
20085,3997
20087,891
20089,358723
20091,1546
20093,2690
20095,1400
20097,11526
20099,744
20101,25953
20103,1043
20105,2310
20107,1480
20109,16383
20111,16186
20113,3987
20115,5164
20117,1759
20119,8852
20121,3625
20123,16961
20125,1664
20127,1248
20129,5756
20131,6601
20133,1383
20135,2674
20137,3213
20139,1532
20141,1525
20143,3182
20145,2631
20147,10021
20149,4956
20151,1074
20153,29082
20155,2221
20157,4224
20159,33849
20161,2234
20163,1299
20165,3001
20167,32194
20169,2280
20171,266456
20173,12282
20175,104545
20177,1133
20179,2853
20181,1440
20183,1476
20185,928
20187,2364
20189,7511
20191,4412
20193,1455
20195,1512
20197,624
20199,2233
20201,841
20203,3709
20205,792
20207,96848
20209,5414
21001,4660
21003,4874
21005,2227
21007,17640
21009,2229
21011,9011
21013,85509
21015,7620
21017,26296
21019,14705
21021,1575
21023,3401
21025,4147
21027,23780
21029,3090
21031,4492
21033,18071
21035,31567
21037,1106
21039,7021
21041,6154
21043,4143
21045,63056
21047,15060
21049,4557
21051,3953
21053,2364
21055,1805
21057,47485
21059,1704
21061,1020
21063,2604
21065,204763
21067,3541
21069,11826
21071,33928
21073,2262
21075,2918
21077,2711
21079,5276
21081,11693
21083,8114
21085,2084
21087,8957
21089,4536
21091,54431
21093,6821
21095,5321
21097,5531
21099,20909
21101,3140
21103,1165
21105,18742
21107,1931
21109,481441
21111,17434
21113,6076
21115,68993
21117,2683
21119,8290
21121,3043
21123,26755
21125,3492
21127,1681
21129,1843
21131,4847
21133,2260
21135,4481
21137,2965
21139,8856
21141,2489
21143,41101
21145,2823
21147,1942
21149,37592
21151,2174
21153,8765
21155,11945
21157,2740
21159,9709
21161,4674
21163,992
21165,6780
21167,2052
21169,3517
21171,11627
21173,3157
21175,9848
21177,15950
21179,1041
21181,7887
21183,16382
21185,1932
21187,742
21189,2493
21191,12640
21193,22875
21195,2758
21197,27162
21199,350
21201,4068
21203,10938
21205,5756
21207,27396
21209,17107
21211,9158
21213,2205
21215,12045
21217,2927
21219,3455
21221,1161
21223,5370
21225,65037
21227,3679
21229,5724
21231,3650
21233,12701
21235,1338
21237,10651
21239,16347
22001,8328
22003,47930
22005,4770
22007,11750
22009,9718
22011,4656
22013,51996
22015,124210
22017,97701
22019,2606
22021,7612
22023,2410
22025,3971
22027,6160
22029,7418
22031,286406
22033,2145
22035,5252
22037,8846
22039,5570
22041,3837
22043,32519
22045,16726
22047,4094
22049,210650
22051,9465
22053,146029
22055,40339
22057,4795
22059,19636
22061,28381
22063,3895
22065,7426
22067,14206
22069,215910
22071,75414
22073,15944
22075,6005
22077,62514
22079,2842
22081,6894
22083,5977
22085,11704
22087,28405
22089,1658
22091,8720
22093,15585
22095,26685
22097,13882
22099,27093
22101,92576
22103,45387
22105,1218
22107,59880
22109,5156
22111,15097
22113,22749
22115,11376
22117,13014
22119,14049
22121,2449
22123,5641
22125,5113
22127,51520
23001,28914
23003,188724
23005,11486
23007,23321
23009,62485
23011,18229
23013,11657
23015,17471
23017,74433
23019,5780
23021,16373
23023,18195
23025,11911
23027,10993
23029,73757
23031,31268
24001,323038
24003,397202
24005,24537
24009,9604
24011,60892
24013,33389
24015,45670
24017,11826
24019,106540
24021,12705
24023,97745
24025,177883
24027,8856
24029,503428
24031,334995
24033,15365
24035,48252
24037,7227
24039,20429
24041,71563
24043,47467
24045,25709
24047,353627
24510,101080
25001,66661
25003,232244
25005,9292
25007,338096
25009,27872
25011,216032
25013,70579
25015,939891
25017,7402
25019,363631
25021,199498
25023,684232
25025,356357
25027,1921
26001,2520
26003,40176
26005,12281
26007,5535
26009,4957
26011,3030
26013,13103
26015,37922
26017,4408
26019,65959
26021,13843
26023,60266
26025,9824
26027,11034
26029,6917
26031,13755
26033,7547
26035,17516
26037,3965
26039,14787
26041,14698
26043,43175
26045,18973
26047,144318
26049,4533
26051,5681
26053,51430
26055,13798
26057,13849
26059,12747
26061,12007
26063,153531
26065,20803
26067,8118
26069,4041
26071,31920
26073,60058
26075,123136
26077,4098
26079,393608
26081,471
26083,1690
26085,22580
26087,6950
26089,29027
26091,60044
26093,1962
26095,4616
26097,335504
26099,7682
26101,29086
26103,11201
26105,14287
26107,7770
26109,39126
26111,3917
26113,44337
26115,16544
26117,2147
26119,65537
26121,12929
26123,756601
26125,7418
26127,6346
26129,1447
26131,7034
26133,1930
26135,10378
26137,126235
26139,3249
26141,5640
26143,89354
26145,47898
26147,22717
26149,12093
26151,2882
26153,18279
26155,12383
26157,22444
26159,209954
26161,748676
26163,13677
26165,4062
27001,127317
27003,15074
27005,20312
27007,17907
27009,1928
27011,41780
27013,14572
27015,14386
27017,40838
27019,10727
27021,5984
27023,15968
27025,21182
27027,2981
27029,3019
27031,5109
27033,30745
27035,199335
27037,6392
27039,19437
27041,5120
27043,6614
27045,12798
27047,22889
27049,2133
27051,952765
27053,5423
27055,6121
27057,11676
27059,17503
27061,5865
27063,4075
27065,24093
27067,1671
27069,4932
27071,2508
27073,4521
27075,1668
27077,9620
27079,1920
27081,15737
27083,18295
27085,2123
27087,2617
27089,9212
27091,7755
27093,10209
27095,11661
27097,17568
27099,3325
27101,15709
27103,10853
27105,1926
27107,98361
27109,24000
27111,11204
27113,8814
27115,4718
27117,13154
27119,4663
27121,353446
27123,1154
27125,7049
27127,6007
27129,25824
27131,3926
27133,8971
27135,104482
27137,48857
27139,27512
27141,4092
27143,91493
27145,22973
27147,5519
27149,3984
27151,6525
27153,1312
27155,7515
27157,6356
27159,7087
27161,84674
27163,4334
27165,2273
27167,26979
27169,43976
27171,4346
27173,11829
28001,15045
28003,2222
28005,4974
28007,1079
28009,13137
28011,3731
28013,1434
28015,5805
28017,2510
28019,4083
28021,3320
28023,6030
28025,8993
28027,7741
28029,5637
28031,59600
28033,43320
28035,1897
28037,5619
28039,2288
28041,11403
28043,15230
28045,97243
28047,135753
28049,4273
28051,2654
28053,266
28055,6893
28057,53969
28059,4213
28061,1428
28063,2009
28065,30642
28067,3216
28069,24598
28071,20380
28073,37527
28075,2883
28077,5717
28079,55939
28081,15690
28083,12903
28085,28161
28087,58498
28089,8860
28091,7374
28093,10729
28095,2871
28097,13115
28099,6458
28101,2873
28103,23563
28105,11975
28107,11410
28109,2503
28111,15879
28113,13322
28115,7891
28117,1403
28119,68267
28121,13665
28123,1346
28125,7674
28127,3175
28129,4459
28131,9473
28133,3604
28135,6212
28137,7233
28139,6309
28141,9125
28143,10892
28145,2930
28147,21931
28149,19169
28151,5506
28153,2246
28155,2068
28157,5178
28159,3276
28161,7275
28163,10998
29001,2787
29003,1801
29005,10094
29007,14555
29009,3516
29011,4119
29013,3909
29015,2012
29017,102739
29019,50532
29021,20214
29023,1834
29025,15348
29027,17298
29029,43507
29031,2684
29033,1532
29035,27148
29037,3322
29039,2076
29041,18374
29043,1646
29045,106053
29047,4392
29049,55072
29051,5605
29053,7111
29055,1858
29057,2802
29059,1766
29061,3874
29063,4238
29065,2585
29067,10651
29069,40438
29071,5607
29073,2480
29075,175355
29077,3769
29079,2781
29081,8281
29083,1403
29085,1428
29087,3017
29089,16145
29091,3761
29093,390007
29095,60977
29097,51637
29099,20951
29101,1168
29103,13668
29105,9341
29107,9671
29109,2837
29111,12295
29113,4354
29115,6758
29117,7330
29119,5309
29121,3926
29123,1422
29125,14666
29127,840
29129,7078
29131,4159
29133,4304
29135,2262
29137,3148
29139,4704
29141,7964
29143,21553
29145,8648
29147,2804
29149,4086
29151,1722
29153,6206
29155,10280
29157,20867
29159,19634
29161,6179
29163,45318
29165,8882
29167,24554
29169,1293
29171,3735
29173,10232
29175,4737
29177,2111
29179,3041
29181,151158
29183,1872
29185,5989
29186,24799
29187,644065
29189,9461
